Critter,Caught
bitterling,yes
pale chub,yes
crucian carp,yes
dace,yes
carp,no
koi,yes
goldfish,yes
pop-eyed goldfish,yes
ranchu goldfish,yes
killifish,no
crawfish,yes
soft-shelled turtle,no
snapping turtle,yes
tadpole,yes
frog,no
freshwater goby,yes
loach,yes
catfish,no
giant snakehead,no
bluegill,yes
yellow perch,no
black bass,yes
tilapia,no
pike,no
pond smelt,no
sweetfish,no
cherry salmon,no
char,no
golden trout,no
stringfish,no
salmon,no
king salmon,no
mitten crab,no
guppy,no
nibble fish,yes
angelfish,no
betta,no
neon tetra,no
rainbowfish,no
piranha,no
arowana,no
dorado,no
gar,no
arapaima,no
saddled bichir,no
sturgeon,no
sea butterfly,no
sea horse,yes
clown fish,yes
surgeonfish,no
butterfly fish,yes
Napoleonfish,no
zebra turkeyfish,yes
blowfish,no
puffer fish,no
anchovy,yes
horse mackerel,yes
barred knifejaw,yes
sea bass,yes
red snapper,yes
dab,no
olive flounder,yes
squid,yes
moray eel,no
ribbon eel,no
tuna,no
blue marlin,no
giant trevally,no
mahi-mahi,no
ocean sunfish,no
ray,no
saw shark,no
hammerhead shark,no
great white shark,no
whale shark,no
suckerfish,no
football fish,no
oarfish,yes
barreleye,no
coelacanth,no
common butterfly,yes
yellow butterfly,yes
tiger butterfly,yes
peacock butterfly,no
common bluebottle,yes
paper kite butterfly,no
great purple emperor,no
monarch butterfly,no
emperor butterfly,no
agrias butterfly,yes
Rajah Brooke's birdwing,no
Queen Alexandra's birdwing,no
moth,yes
Atlas moth,no
Madagascan sunset moth,no
long locust,yes
migratory locust,no
rice grasshopper,no
grasshopper,no
cricket,no
bell cricket,no
mantis,yes
orchid mantis,no
honeybee,yes
wasp,no
brown cicada,no
robust cicada,no
giant cicada,no
walker cicada,no
evening cicada,no
cicada shell,no
red dragonfly,no
darner dragonfly,yes
banded dragonfly,no
damselfly,no
firefly,no
mole cricket,no
pondskater,yes
diving beetle,yes
giant water bug,no
stinkbug,yes
man-faced stink bug,yes
ladybug,no
tiger beetle,yes
jewel beetle,no
violin beetle,no
citrus long-horned beetle,no
rosalia batesi beetle,no
blue weevil beetle,no
dung beetle,no
earth-boring dung beetle,no
scarab beetle,no
drone beetle,no
goliath beetle,no
saw stag,no
miyama stag,no
giant stag,no
rainbow stag,no
cyclommatus stag,no
golden stag,no
giraffe stag,no
horned dynastid,no
horned atlas,no
horned elephant,no
horned hercules,no
walking stick,no
walking leaf,no
bagworm,yes
ant,no
hermit crab,yes
wharf roach,no
fly,no
mosquito,no
flea,no
snail,no
pill bug,no
centipede,yes
spider,no
tarantula,no
scorpion,yes
